user_id,age,gender,country,profession,primary_platform,platforms_used_count,daily_usage_hours,sessions_per_day,avg_session_duration_min,preferred_device,peak_usage_time,followers_count,following_count,posts_per_week,likes_given_per_day,comments_per_day,shares_per_day,dms_sent_per_day,preferred_content_type,scroll_speed,purchased_via_social_media,primary_purpose,sleep_disruption,notification_frequency,influencer_status,account_join_date,takes_social_media_breaks
USR00039,16,Female,Canada,Marketer,Snapchat,3,5.5,6,55,Smartphone,Evening (6-9pm),92,813,1,30,2,1,13,Educational,Medium,Sometimes,News & Updates,No impact,Do Not Disturb,No,10-07-2024,Occasionally
USR00040,28,Female,Pakistan,Other,Facebook,5,2.8,8,21,Tablet,Evening (6-9pm),691,219,1,23,5,3,3,Reels/Shorts,Fast,Sometimes,News & Updates,Severe impact,Do Not Disturb,No,30-01-2024,Yes
USR00041,32,Male,USA,Researcher,YouTube,2,3,5,36,Smartphone,Night (9pm-12am),359,150,2,24,6,5,10,Entertainment,Medium,Yes,News & Updates,Moderate impact,Always On,No,09-07-2022,Occasionally
USR00042,28,Male,Brazil,Student,Instagram,5,3.8,2,114,Smartphone,Night (9pm-12am),3319,133,1,16,4,0,6,Photos,Medium,Yes,Networking,Mild impact,Always On,No,26-01-2023,No
USR00043,26,Female,USA,Entrepreneur,TikTok,1,5.4,4,81,Smartphone,Night (9pm-12am),99,207,3,21,1,4,9,Photos,Fast,Sometimes,Entertainment,Mild impact,Always On,No,16-04-2022,Occasionally
USR00044,24,Male,UK,Marketer,TikTok,3,2.6,6,26,Smartphone,Night (9pm-12am),1344,230,1,15,3,2,3,Reels/Shorts,Medium,No,Entertainment,No impact,Selected,No,04-07-2023,No
USR00045,15,Male,Canada,Other,Instagram,5,3.8,3,76,Smartphone,Afternoon (12-4pm),146,1103,2,17,4,1,8,Reels/Shorts,Fast,Yes,Entertainment,No impact,Always On,No,12-02-2024,Occasionally
USR00046,21,Female,Canada,Teacher,TikTok,4,1.7,3,34,Smartphone,Morning (6-10am),265,2597,2,27,6,4,8,Reels/Shorts,Fast,Yes,Networking,Mild impact,Do Not Disturb,No,22-03-2022,Occasionally
USR00047,23,Male,Pakistan,Doctor,Instagram,3,1,5,12,Smartphone,Late Night (12am+),0,310,2,23,3,4,10,Videos,Fast,Sometimes,Learning,No impact,Selected,No,30-05-2022,No
USR00048,35,Female,India,Other,TikTok,3,1.9,5,22.8,Smartphone,Evening (6-9pm),28732,88,5,18,4,2,4,Memes,Fast,No,Socializing,No impact,Do Not Disturb,Yes,21-01-2023,Yes
USR00049,29,Male,USA,Doctor,Facebook,4,6.1,6,61,Smartphone,Evening (6-9pm),1791,127,2,18,10,4,3,Videos,Fast,Yes,Networking,Severe impact,Always On,No,21-03-2023,Occasionally
USR00050,13,Female,UK,Engineer,TikTok,5,3.9,2,117,Smartphone,Evening (6-9pm),167,196,5,14,3,1,4,Videos,Medium,Yes,News & Updates,No impact,Selected,No,08-09-2024,Yes
USR00051,29,Male,Pakistan,Freelancer,TikTok,2,1.1,6,11,Smartphone,Night (9pm-12am),87,71,5,20,2,3,10,Stories,Medium,No,Learning,Moderate impact,Selected,No,04-03-2023,Occasionally
USR00052,23,Male,Germany,Researcher,Instagram,1,4,4,60,Laptop,Night (9pm-12am),272,59,3,23,10,2,4,Reels/Shorts,Fast,Yes,Socializing,Mild impact,Selected,No,13-11-2023,Occasionally
USR00053,21,Male,Australia,Designer,TikTok,3,1.1,3,22,Smartphone,Night (9pm-12am),2417,3030,4,25,7,1,6,Videos,Medium,Yes,News & Updates,Mild impact,Do Not Disturb,No,13-09-2023,No
USR00054,31,Non-binary,India,Teacher,LinkedIn,2,3.3,4,49.5,Smartphone,Late Night (12am+),22,351,2,18,4,2,6,Educational,Medium,No,Networking,Moderate impact,Off,No,01-02-2022,Occasionally
USR00055,35,Female,UK,Other,Facebook,1,1.3,2,39,Smartphone,Evening (6-9pm),515,90,0,21,4,2,6,News,Fast,No,News & Updates,No impact,Always On,No,10-03-2023,Yes
USR00056,34,Female,USA,Marketer,Facebook,1,1,6,10,Smartphone,Evening (6-9pm),16109,651,1,25,5,2,12,Memes,Fast,Yes,News & Updates,Moderate impact,Selected,Yes,25-01-2023,Yes
USR00057,20,Male,Pakistan,Teacher,Instagram,5,6.7,8,50.2,Smartphone,Night (9pm-12am),86,59,5,25,4,1,7,News,Medium,No,Learning,Moderate impact,Always On,No,29-08-2022,Occasionally
USR00058,24,Female,Pakistan,Teacher,YouTube,2,2.1,5,25.2,Smartphone,Afternoon (12-4pm),768,65,5,20,1,6,9,Stories,Slow,Sometimes,Entertainment,No impact,Always On,No,07-09-2024,Yes
USR00059,29,Female,India,Freelancer,Instagram,3,3.8,6,38,Desktop,Night (9pm-12am),35100,93,5,27,6,2,7,Videos,Medium,No,Business/Marketing,Mild impact,Do Not Disturb,Yes,12-05-2023,Occasionally
USR00060,34,Male,Nigeria,Researcher,TikTok,3,2.7,5,32.4,Desktop,Afternoon (12-4pm),2075,1781,2,17,4,2,3,News,Medium,No,Business/Marketing,No impact,Off,No,23-02-2023,No
USR00061,23,Male,Australia,Entrepreneur,Pinterest,5,1.2,5,14.4,Smartphone,Afternoon (12-4pm),834,180,10,22,4,1,9,Entertainment,Medium,No,Learning,Moderate impact,Selected,No,23-03-2024,Yes
USR00062,25,Male,USA,Student,Facebook,3,2.2,6,22,Laptop,Evening (6-9pm),1655,13,0,12,2,1,4,Memes,Medium,Yes,Learning,Moderate impact,Selected,No,06-05-2023,Occasionally
USR00063,18,Prefer not to say,UAE,Marketer,Twitter/X,1,1.2,4,18,Smartphone,Evening (6-9pm),323,1045,4,23,2,1,6,Memes,Fast,No,News & Updates,Mild impact,Always On,No,21-10-2023,No
USR00064,17,Female,Australia,Entrepreneur,Facebook,5,9.6,4,144,Tablet,Night (9pm-12am),6900,169,1,20,2,2,6,Entertainment,Medium,Sometimes,Entertainment,Mild impact,Do Not Disturb,No,03-08-2023,Yes
USR00065,33,Male,USA,Teacher,Snapchat,1,4.2,5,50.4,Desktop,Late Night (12am+),324,26,3,24,6,0,11,Reels/Shorts,Medium,Yes,Socializing,Mild impact,Off,No,19-02-2024,No
USR00066,37,Female,UK,Engineer,YouTube,1,2.6,5,31.2,Smartphone,Morning (6-10am),19,167,3,13,1,3,3,Stories,Fast,Sometimes,News & Updates,Mild impact,Do Not Disturb,No,12-08-2024,Occasionally
USR00067,26,Female,Canada,Entrepreneur,TikTok,4,3.7,4,55.5,Smartphone,Morning (6-10am),328,457,4,23,7,2,10,Videos,Fast,Sometimes,News & Updates,Mild impact,Selected,No,28-12-2024,Occasionally
USR00068,35,Female,India,Other,Instagram,4,4.1,4,61.5,Tablet,Night (9pm-12am),116,397,1,18,3,4,12,Reels/Shorts,Medium,Sometimes,Networking,No impact,Selected,No,06-01-2024,Yes
USR00069,29,Female,Pakistan,Teacher,TikTok,5,4.1,7,35.1,Desktop,Afternoon (12-4pm),400,2117,0,29,2,3,7,Reels/Shorts,Medium,No,Networking,No impact,Do Not Disturb,No,24-09-2023,Occasionally
USR00070,21,Male,India,Teacher,TikTok,1,4,5,48,Smartphone,Evening (6-9pm),417,87,4,12,4,1,11,Videos,Fast,Yes,Business/Marketing,Moderate impact,Off,No,20-06-2023,Yes
USR00071,29,Female,Nigeria,Other,Instagram,5,3.8,4,57,Smartphone,Evening (6-9pm),5740,258,3,16,10,1,8,Videos,Slow,Sometimes,Learning,Mild impact,Off,No,07-01-2024,Yes
USR00072,39,Male,Pakistan,Researcher,LinkedIn,4,2.8,3,56,Smartphone,Night (9pm-12am),2325,105,5,20,3,4,11,Educational,Fast,Sometimes,Learning,Mild impact,Selected,No,16-11-2024,Occasionally
USR00073,26,Female,Canada,Student,Snapchat,5,6.4,9,42.7,Laptop,Morning (6-10am),1068,38,4,22,4,0,6,Photos,Slow,Sometimes,Entertainment,Mild impact,Always On,No,15-10-2024,Yes
USR00074,39,Male,UK,Student,TikTok,2,2.9,6,29,Smartphone,Night (9pm-12am),661,708,2,28,6,2,8,Reels/Shorts,Slow,Sometimes,Business/Marketing,Mild impact,Selected,No,12-08-2024,No
USR00075,13,Male,UK,Marketer,Facebook,5,2.7,6,27,Smartphone,Night (9pm-12am),98,426,4,16,5,2,10,Stories,Fast,No,Business/Marketing,No impact,Always On,No,21-07-2022,No
USR00076,33,Female,Australia,Doctor,TikTok,2,2.9,4,43.5,Desktop,Evening (6-9pm),13,343,0,20,4,2,8,News,Medium,No,Entertainment,Mild impact,Always On,No,19-08-2024,Occasionally
USR00077,27,Male,UAE,Marketer,LinkedIn,5,3.1,7,26.6,Smartphone,Night (9pm-12am),815,408,1,23,3,1,8,Stories,Medium,No,Networking,Mild impact,Always On,No,18-10-2023,Occasionally
USR00078,24,Male,USA,Entrepreneur,Twitter/X,2,0.7,6,7,Smartphone,Evening (6-9pm),2780,107,4,23,4,4,4,News,Fast,No,Entertainment,Moderate impact,Do Not Disturb,No,21-02-2023,No
USR00079,27,Male,Canada,Engineer,TikTok,2,1.4,6,14,Smartphone,Evening (6-9pm),547,73,0,23,4,5,5,Photos,Fast,Yes,Business/Marketing,Mild impact,Do Not Disturb,No,30-01-2024,Occasionally
USR00080,13,Male,Pakistan,Teacher,TikTok,2,2.4,2,72,Smartphone,Late Night (12am+),253,255,6,22,5,1,6,Reels/Shorts,Slow,Sometimes,Business/Marketing,No impact,Always On,No,03-10-2023,No
USR00081,25,Female,UK,Entrepreneur,Twitter/X,2,0.6,6,6,Smartphone,Evening (6-9pm),1534,985,4,24,3,3,15,Photos,Slow,Yes,Business/Marketing,Moderate impact,Always On,No,27-04-2024,Occasionally
USR00082,29,Female,UK,Engineer,TikTok,3,2.6,4,39,Laptop,Evening (6-9pm),572,1685,6,25,3,2,8,Entertainment,Fast,Yes,Socializing,Mild impact,Off,No,04-04-2022,Occasionally
USR00083,38,Male,Australia,Engineer,Facebook,3,3,7,25.7,Smartphone,Evening (6-9pm),13826,635,4,20,5,2,7,Stories,Medium,No,Entertainment,Severe impact,Always On,Yes,30-03-2023,Occasionally
USR00084,22,Male,Pakistan,Other,Snapchat,5,0.9,8,6.8,Smartphone,Night (9pm-12am),6117,253,4,16,3,3,5,Photos,Fast,Sometimes,Learning,Severe impact,Selected,No,26-10-2022,Yes
USR00085,20,Male,Pakistan,Freelancer,TikTok,4,1.7,6,17,Laptop,Late Night (12am+),3741,338,0,21,5,2,10,Entertainment,Fast,No,Learning,Moderate impact,Always On,No,03-02-2022,No
USR00086,22,Female,India,Researcher,Instagram,1,5.6,3,112,Desktop,Evening (6-9pm),2601,248,2,21,4,3,9,Memes,Medium,Yes,Socializing,No impact,Always On,No,19-06-2023,No
USR00087,34,Female,Australia,Engineer,Pinterest,3,3.7,4,55.5,Laptop,Morning (6-10am),65,71,3,19,1,1,11,News,Slow,Sometimes,Business/Marketing,No impact,Selected,No,05-05-2024,Occasionally
USR00088,29,Male,Pakistan,Student,Twitter/X,2,3.6,5,43.2,Tablet,Night (9pm-12am),2193,252,1,33,4,1,6,Videos,Medium,No,Networking,Moderate impact,Selected,No,28-08-2023,No
USR00089,22,Female,Pakistan,Engineer,Instagram,3,5.2,3,104,Smartphone,Evening (6-9pm),1309,49,2,21,7,0,7,Educational,Fast,No,Entertainment,Mild impact,Selected,No,09-11-2022,No
USR00090,31,Female,India,Entrepreneur,Instagram,2,1.4,5,16.8,Smartphone,Night (9pm-12am),1981,210,3,20,4,2,7,Entertainment,Medium,Sometimes,Networking,No impact,Always On,No,06-02-2023,Yes
USR00091,27,Male,USA,Designer,Instagram,4,1,8,7.5,Desktop,Late Night (12am+),1614,1742,2,22,3,1,9,Stories,Fast,No,Socializing,No impact,Always On,No,07-11-2023,Yes
USR00092,34,Female,Brazil,Other,Facebook,3,4.8,8,36,Tablet,Evening (6-9pm),1502,656,3,24,8,1,4,Stories,Medium,Sometimes,Entertainment,Mild impact,Selected,No,17-04-2023,No
USR00093,21,Male,USA,Freelancer,YouTube,1,2.5,5,30,Laptop,Evening (6-9pm),85953,80,1,25,4,2,8,Entertainment,Medium,Yes,Learning,Moderate impact,Always On,Yes,17-02-2024,Yes
USR00094,24,Female,India,Marketer,Twitter/X,1,1.4,5,16.8,Laptop,Night (9pm-12am),579,224,4,22,8,2,13,Reels/Shorts,Slow,Yes,Entertainment,Mild impact,Off,No,19-05-2023,Yes
USR00095,23,Female,UK,Marketer,Instagram,3,0.7,8,5.2,Smartphone,Afternoon (12-4pm),3588,89,2,22,2,1,10,Entertainment,Medium,No,Business/Marketing,Mild impact,Always On,No,19-10-2024,Occasionally
USR00096,15,Female,Brazil,Researcher,TikTok,3,2.9,5,34.8,Smart TV,Night (9pm-12am),284,227,1,17,9,2,1,Reels/Shorts,Medium,No,Business/Marketing,Moderate impact,Selected,No,23-11-2023,Yes
USR00097,29,Female,UK,Engineer,Pinterest,1,2.3,4,34.5,Desktop,Night (9pm-12am),2760,853,4,30,1,0,6,Memes,Medium,No,Learning,Moderate impact,Always On,No,12-06-2023,Yes
USR00098,29,Female,Germany,Designer,Twitter/X,4,2,3,40,Smartphone,Evening (6-9pm),3607,535,1,17,3,2,10,Entertainment,Medium,Sometimes,Networking,Severe impact,Selected,No,27-09-2024,Yes
USR00099,27,Female,India,Teacher,Pinterest,5,0.5,7,4.3,Smartphone,Evening (6-9pm),1281,4822,6,19,1,0,4,Entertainment,Medium,Sometimes,Learning,No impact,Selected,No,01-10-2024,No
USR00100,25,Male,Pakistan,Designer,Snapchat,3,6.4,4,96,Smartphone,Late Night (12am+),13421,1023,3,27,4,1,11,News,Medium,Sometimes,Learning,Severe impact,Always On,Yes,01-08-2024,No
USR00101,15,Male,Canada,Teacher,Instagram,3,0.8,4,12,Smartphone,Night (9pm-12am),135,312,3,17,6,2,11,Stories,Fast,No,Socializing,Mild impact,Selected,No,11-12-2022,Occasionally
USR00102,23,Female,UK,Doctor,YouTube,1,2.2,5,26.4,Desktop,Evening (6-9pm),276,551,5,18,4,1,11,Educational,Fast,Sometimes,News & Updates,No impact,Off,No,23-12-2023,Yes
USR00103,24,Male,Australia,Freelancer,Facebook,1,1.9,3,38,Smartphone,Night (9pm-12am),974,191,3,22,6,2,9,News,Medium,No,Business/Marketing,Mild impact,Do Not Disturb,No,13-12-2022,No
USR00104,20,Female,Germany,Marketer,Twitter/X,1,3.8,5,45.6,Smartphone,Night (9pm-12am),3246,63,5,21,5,0,10,News,Medium,Sometimes,Socializing,No impact,Do Not Disturb,No,14-10-2022,Occasionally
USR00105,25,Female,Canada,Engineer,TikTok,1,0.7,4,10.5,Smartphone,Morning (6-10am),918,1172,2,16,1,1,9,Educational,Medium,Sometimes,Business/Marketing,No impact,Always On,No,27-09-2024,Occasionally
USR00106,30,Male,India,Student,Facebook,3,3.5,6,35,Smartphone,Evening (6-9pm),6730,821,3,24,3,0,17,Photos,Medium,Yes,Business/Marketing,Severe impact,Do Not Disturb,No,12-01-2023,Yes
USR00107,42,Female,Canada,Entrepreneur,Instagram,2,2.9,5,34.8,Laptop,Morning (6-10am),202,183,6,24,4,1,9,Videos,Fast,Yes,Networking,No impact,Do Not Disturb,No,01-05-2022,No
USR00108,28,Female,Canada,Student,Twitter/X,1,1.6,5,19.2,Smartphone,Late Night (12am+),85,339,6,13,3,1,13,Stories,Medium,No,Business/Marketing,Severe impact,Always On,No,09-12-2024,Occasionally
USR00109,29,Female,Pakistan,Doctor,Twitter/X,4,3.4,2,102,Smartphone,Morning (6-10am),1158,1084,3,20,4,2,7,Educational,Fast,No,Learning,Mild impact,Always On,No,11-03-2022,Occasionally
USR00110,26,Female,UK,Other,LinkedIn,4,2.6,5,31.2,Tablet,Late Night (12am+),578,675,3,22,0,0,10,Memes,Medium,Yes,Learning,Severe impact,Selected,No,02-06-2022,Occasionally
USR00111,13,Male,Germany,Student,Snapchat,3,7.3,3,146,Smart TV,Night (9pm-12am),1767,42,3,16,3,0,10,Reels/Shorts,Medium,Sometimes,News & Updates,Moderate impact,Selected,No,10-04-2022,No
USR00112,26,Male,Pakistan,Doctor,TikTok,1,2.3,3,46,Smartphone,Night (9pm-12am),633,327,1,14,5,3,10,Photos,Slow,No,Business/Marketing,Mild impact,Always On,No,14-01-2022,Yes
USR00113,27,Female,UK,Student,Twitter/X,5,1.3,5,15.6,Smartphone,Night (9pm-12am),360,200,5,23,3,2,4,News,Fast,Yes,Networking,Mild impact,Always On,No,24-04-2024,No
USR00114,46,Male,USA,Marketer,Instagram,1,3.5,4,52.5,Laptop,Afternoon (12-4pm),581,930,3,25,1,2,4,News,Medium,No,News & Updates,Severe impact,Selected,No,09-10-2022,Yes
USR00115,25,Female,USA,Other,LinkedIn,3,2.1,3,42,Laptop,Night (9pm-12am),700,843,4,17,5,4,5,Memes,Medium,Sometimes,News & Updates,Mild impact,Do Not Disturb,No,19-04-2023,Yes
USR00116,29,Male,USA,Entrepreneur,Snapchat,5,2.6,4,39,Smartphone,Afternoon (12-4pm),384,1190,1,23,5,2,5,Memes,Fast,No,Entertainment,No impact,Off,No,20-05-2022,Occasionally
USR00117,26,Female,Brazil,Other,TikTok,3,1,2,30,Tablet,Late Night (12am+),461,63,3,20,2,4,5,Entertainment,Fast,No,Networking,Severe impact,Selected,No,06-11-2022,Yes
USR00118,17,Male,Pakistan,Freelancer,Facebook,2,3.8,6,38,Laptop,Afternoon (12-4pm),321,95,5,12,3,1,6,Entertainment,Medium,No,Networking,Mild impact,Do Not Disturb,No,19-01-2022,No
USR00119,36,Male,Pakistan,Teacher,Facebook,4,1.9,7,16.3,Laptop,Evening (6-9pm),3108,931,3,20,5,2,6,Memes,Fast,Yes,Entertainment,No impact,Do Not Disturb,No,24-03-2023,No
USR00120,33,Female,India,Freelancer,Instagram,3,3.1,3,62,Smartphone,Morning (6-10am),943,120,1,17,5,4,13,Memes,Medium,Sometimes,News & Updates,Moderate impact,Selected,No,01-11-2024,Occasionally
USR00121,33,Female,India,Teacher,YouTube,1,8.4,5,100.8,Smartphone,Evening (6-9pm),38644,39,3,22,2,0,7,Stories,Slow,No,Networking,Mild impact,Off,Yes,22-07-2024,Occasionally
USR00122,19,Female,Australia,Researcher,Twitter/X,1,2.2,4,33,Laptop,Late Night (12am+),888,463,3,23,3,2,11,Entertainment,Fast,Sometimes,Networking,Mild impact,Always On,No,04-02-2024,Yes
USR00123,38,Male,UAE,Other,YouTube,3,4.1,6,41,Laptop,Afternoon (12-4pm),246,126,4,26,3,3,9,Educational,Fast,Sometimes,Networking,Mild impact,Off,No,04-05-2022,No
USR00124,15,Male,Australia,Researcher,Twitter/X,4,2.3,6,23,Smartphone,Night (9pm-12am),81406,2095,2,13,3,1,9,Stories,Slow,No,Networking,No impact,Do Not Disturb,Yes,16-09-2024,Occasionally
USR00125,31,Female,UK,Other,Instagram,3,1.6,2,48,Smartphone,Afternoon (12-4pm),1400,349,6,20,3,2,3,News,Fast,Sometimes,Networking,Moderate impact,Always On,No,26-09-2024,Yes
USR00126,44,Female,UK,Marketer,TikTok,3,5.7,2,171,Smartphone,Night (9pm-12am),3952,296,2,19,3,1,12,Memes,Fast,No,Learning,Mild impact,Selected,No,02-02-2022,Occasionally
USR00127,19,Male,UK,Teacher,Instagram,1,0.5,5,6,Smartphone,Evening (6-9pm),1930,157,4,22,4,4,4,Memes,Fast,Sometimes,Socializing,Mild impact,Selected,No,14-01-2022,Yes
